clave_entidad,entidad,clave_plantel,plantel,cct,latitud,longitud,domicilio_plantel
1,Aguascalientes,16,Prof. J. Refugio Esparza Reyes,01DPT0002I,21.88398517,-102.288039,Cosío Núm. 201 Norte
1,Aguascalientes,63,Aguascalientes II,01DPT0001J,21.83684103,-102.2849464,Gregorio Ruiz Velasco Núm. 301
1,Aguascalientes,47,Ing. Miguel Ángel Barberena Vega,01DPT0003H,21.96649194,-102.3518269,Av. Emiliano Zapata Esq. Francisco I. Madero S/N
1,Aguascalientes,84,Aguascalientes III,01DPT0004G,21.93210267,-102.2564507,Sebastián de Lara 103 Esq. Gerónimo de la Cueva
1,Aguascalientes,85,Tepezalá,01DPT0005F,22.22240111,-102.1666781,Av. El Chayote Esq. Arroyo Hondo S/N
1,Aguascalientes,18,Aguascalientes IV,01DPT0006E,21.855982,-102.311554,Fortunato Maycotte Esq. José Aceves Díaz de Sandi
1,Aguascalientes,19,Pabellon de Arteaga,01DPT0007D,22.1414608,-102.2848392,Ing. Alfonso Bernal Sahagún Esq. Felipe Ángeles
2,Baja California,17,Mexicali I,02DPT0004F,32.569926,-115.348892,Av. Conalep S/N
2,Baja California,18,Tijuana I,02DPT0010Q,32.476505,-116.943393,Blvd. Las Fuentes Núm. 920 
2,Baja California,64,Ensenada,02DPT0006D,31.827143,-116.607814,Av. Granito Núm. 408
2,Baja California,43,Tijuana II,02DPT0008B,32.513431,-116.971009,Av. Ermita Nte. Y Vía Rápida Pte. Zona Del Rio
2,Baja California,54,Mexicali II,02DPT0012O,32.639412,-115.497992,Salina Cruz Núm. 1228 Entre Guasave y Q. Roo
2,Baja California,15,Ing. César Moreno Martínez de Escobar,02DPT0014M,32.548441,-116.624079,Carr. Tecate-Ensenada Km. 2.5
3,Baja California Sur,19,La Paz,03DPT0001H,24.13504,-110.3202031,A. Álvarez Rico Esq L. Núñez Avilés. S/N
3,Baja California Sur,82,San José del Cabo,03DPT0002G,23.05505889,-109.6957669,Valerio González Canseco 909
4,Campeche,20,Lic. Guillermo González Galera,04DPT0001G,19.805632,-90.530005,Av. Maestros Campechanos S/N
4,Campeche,21,Ciudad del Carmen,04DPT0002F,18.660166,-91.836079,Av. Héroes del 21 de Abril de 1914 S/N
4,Campeche,72,Dzitbalché Calkiní,04DPT0003E,20.33170994,-90.0562191,Km. 2 Carr. Dzitbalche-Calkini
5,Coahuila de Zaragoza,10,Piedras Negras,05DPT0001F,28.67967,-100.554771,Lib. Manuel Pérez Treviño 510
5,Coahuila de Zaragoza,23,Saltillo I,05DPT0002E,25.44946,-101.028385,Blvd. Francisco I. Madero Núm. 2300
5,Coahuila de Zaragoza,24,Muzquiz,05DPT0004C,27.89837328,-101.5350437,Carr. Muzquiz-Boquillas Km. 3
5,Coahuila de Zaragoza,66,Monclova,05DPT0003D,26.90506889,-101.4233261,Allende Núm. 103 Poniente
5,Coahuila de Zaragoza,59,Ciudad Acuña,05DPT0005B,29.308209,-100.92367,Mina y Seguro Social S/N
5,Coahuila de Zaragoza,16,Torreón,05DPT0007Z,25.523058,-103.396175,Calzada José Vasconcelos y Azuay S/N
5,Coahuila de Zaragoza,17,Saltillo II,05DPT0006A,25.384317,-100.98146,Blvd. Miguel Hidalgo S/N
5,Coahuila de Zaragoza,55,San Pedro de las Colonias,05DPT0008Z,25.757489,-103.015333,Km. 2 Carr. San Pedro-Torreón S/N
5,Coahuila de Zaragoza,92,Frontera,05DPT0009Y,26.952146,-101.455114,Carr. 30 No 98
6,Colima,61,Prof. Gustavo Alberto Vázquez Montes,06DPT0001E,19.090428,-104.293889,Av. Parotas S/N
6,Colima,81,Colima,06DPT0181F,19.23611194,-103.7074611,Niños Héroes Núm. 1210
6,Colima,13,Tecoman,06DPT0002D,18.904439,-103.88762,Rio Soto La Marina S/N
7,Chiapas,22,Chiapa de Corzo,07DPT0002C,16.708592,-93.004404,Calle Libertad Núm. 654 Esq. Libramiento
7,Chiapas,67,Huixtla,07DPT0003B,15.138326,-92.454149,Carr. Costera Huixtla-Tapachula Km. 3
7,Chiapas,68,Tuxtla Chico,07DPT0004A,14.92987889,-92.17464194,Km. 12.5 Carr. Tapachula-Talismán
7,Chiapas,69,Palenque,07DPT0009W,17.5398862,-91.9837522,Periférico Nte. Núm. 69
7,Chiapas,70,Comitán,07DPT0001D,16.237956,-92.135725,Calle 11a Sur Pte. Núm. 135
